freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.871e+02,2.170e+01,5.496e+01,6.638e+02
1.6,3.556e+02,7.807e+01,8.136e+01,5.150e+02
3.3,6.282e+01,9.885e+01,6.229e+01,2.240e+02
4.9,5.131e+02,1.020e+02,6.039e+01,6.755e+02
6.5,1.424e+03,1.063e+02,6.204e+01,1.592e+03
8.2,2.260e+03,1.238e+02,6.434e+01,2.448e+03
9.8,3.225e+03,1.280e+02,5.896e+01,3.412e+03
11.4,4.432e+03,1.163e+02,6.153e+01,4.609e+03
13.0,5.814e+03,1.137e+02,6.544e+01,5.993e+03
14.7,7.414e+03,1.172e+02,6.912e+01,7.601e+03
16.3,9.330e+03,1.319e+02,6.985e+01,9.532e+03
17.9,1.139e+04,1.322e+02,6.913e+01,1.159e+04
19.6,1.398e+04,1.222e+02,7.120e+01,1.417e+04
21.2,1.665e+04,1.332e+02,6.958e+01,1.685e+04
22.8,1.659e+04,1.511e+02,6.769e+01,1.681e+04
24.5,1.874e+04,1.546e+02,6.454e+01,1.896e+04
26.1,2.397e+04,1.724e+02,9.703e+01,2.424e+04
27.7,2.978e+04,2.699e+02,1.965e+02,3.025e+04
29.3,3.550e+04,3.312e+02,2.430e+02,3.607e+04
31.0,4.169e+04,7.451e+02,2.464e+02,4.268e+04
32.6,4.238e+04,2.006e+03,3.778e+02,4.476e+04
34.2,3.781e+04,2.742e+03,4.015e+02,4.095e+04
35.9,3.056e+04,1.916e+03,2.676e+02,3.274e+04
37.5,2.587e+04,8.649e+02,1.304e+02,2.687e+04
39.1,2.558e+04,3.027e+02,9.598e+01,2.598e+04
40.8,3.001e+04,2.566e+02,2.419e+02,3.051e+04
42.4,3.736e+04,6.894e+02,8.257e+02,3.887e+04
44.0,4.243e+04,8.424e+02,1.010e+03,4.429e+04
45.7,4.846e+04,3.918e+02,4.579e+02,4.931e+04
47.3,5.713e+04,2.309e+02,2.966e+02,5.766e+04
48.9,6.465e+04,1.409e+02,3.140e+02,6.510e+04
50.5,7.210e+04,1.096e+02,4.475e+02,7.266e+04
52.2,8.421e+04,1.002e+02,7.461e+02,8.505e+04
53.8,9.750e+04,1.073e+02,1.766e+03,9.938e+04
55.4,1.104e+05,1.742e+02,4.927e+03,1.155e+05
57.1,1.212e+05,3.570e+02,9.834e+03,1.314e+05
58.7,1.344e+05,6.332e+02,1.403e+04,1.491e+05
60.3,1.584e+05,8.270e+02,1.584e+04,1.751e+05
62.0,1.891e+05,9.626e+02,1.794e+04,2.080e+05
63.6,2.376e+05,1.308e+03,2.491e+04,2.638e+05
65.2,3.202e+05,2.183e+03,4.147e+04,3.639e+05
66.9,4.447e+05,4.373e+03,8.719e+04,5.363e+05
68.5,6.118e+05,9.197e+03,2.211e+05,8.420e+05
70.1,7.820e+05,1.416e+04,3.921e+05,1.188e+06
71.7,8.736e+05,1.520e+04,4.358e+05,1.325e+06
73.4,7.668e+05,1.241e+04,3.805e+05,1.160e+06
75.0,5.107e+05,7.790e+03,2.786e+05,7.971e+05
76.6,3.309e+05,4.172e+03,1.863e+05,5.213e+05
78.3,2.513e+05,1.937e+03,1.201e+05,3.733e+05
79.9,2.297e+05,8.774e+02,7.477e+04,3.054e+05
81.5,2.333e+05,4.131e+02,5.103e+04,2.848e+05
83.2,2.341e+05,2.117e+02,3.628e+04,2.706e+05
84.8,2.442e+05,2.596e+02,2.781e+04,2.723e+05
86.4,2.758e+05,5.660e+02,2.034e+04,2.967e+05
88.0,3.248e+05,9.537e+02,1.419e+04,3.399e+05
89.7,3.804e+05,1.336e+03,1.028e+04,3.920e+05
91.3,4.454e+05,1.683e+03,7.817e+03,4.549e+05
92.9,5.232e+05,1.969e+03,5.934e+03,5.311e+05
94.6,5.977e+05,2.363e+03,4.659e+03,6.047e+05
96.2,6.607e+05,3.330e+03,4.426e+03,6.685e+05
