freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.470e+02,2.854e+01,5.261e+01,7.281e+02
1.6,3.918e+02,1.099e+02,7.734e+01,5.791e+02
3.3,7.081e+01,1.339e+02,6.343e+01,2.681e+02
4.9,5.279e+02,1.007e+02,6.094e+01,6.896e+02
6.5,1.446e+03,1.025e+02,5.904e+01,1.607e+03
8.2,2.301e+03,9.997e+01,5.850e+01,2.459e+03
9.8,3.339e+03,1.003e+02,5.671e+01,3.496e+03
11.4,4.607e+03,9.824e+01,6.030e+01,4.765e+03
13.1,6.156e+03,9.324e+01,6.600e+01,6.315e+03
14.7,7.868e+03,1.038e+02,6.489e+01,8.036e+03
16.4,9.955e+03,1.096e+02,6.507e+01,1.013e+04
18.0,1.218e+04,1.110e+02,6.690e+01,1.236e+04
19.6,1.506e+04,1.065e+02,6.795e+01,1.524e+04
21.3,1.767e+04,1.070e+02,6.805e+01,1.784e+04
22.9,1.746e+04,1.100e+02,7.331e+01,1.765e+04
24.5,2.038e+04,1.105e+02,8.001e+01,2.057e+04
26.2,2.589e+04,2.065e+02,1.489e+02,2.625e+04
27.8,3.081e+04,4.578e+02,3.968e+02,3.166e+04
29.4,3.672e+04,3.182e+02,2.873e+02,3.733e+04
31.1,4.580e+04,5.276e+02,1.991e+02,4.652e+04
32.7,5.141e+04,1.006e+03,3.063e+02,5.272e+04
34.3,4.935e+04,1.287e+03,3.570e+02,5.099e+04
36.0,3.987e+04,1.942e+03,5.204e+02,4.233e+04
37.6,3.247e+04,1.883e+03,4.877e+02,3.484e+04
39.2,2.759e+04,1.009e+03,2.533e+02,2.886e+04
40.9,2.931e+04,5.826e+02,1.553e+02,3.005e+04
42.5,3.520e+04,5.555e+02,3.384e+02,3.610e+04
44.2,4.085e+04,7.606e+02,7.137e+02,4.232e+04
45.8,4.756e+04,6.325e+02,6.089e+02,4.880e+04
47.4,5.724e+04,3.947e+02,4.264e+02,5.806e+04
49.1,6.576e+04,2.240e+02,3.587e+02,6.635e+04
50.7,7.338e+04,1.553e+02,3.955e+02,7.393e+04
52.3,8.384e+04,1.568e+02,6.016e+02,8.459e+04
54.0,9.541e+04,1.573e+02,1.440e+03,9.701e+04
55.6,1.082e+05,1.978e+02,4.875e+03,1.133e+05
57.2,1.214e+05,3.821e+02,1.039e+04,1.322e+05
58.9,1.384e+05,6.310e+02,1.461e+04,1.536e+05
60.5,1.644e+05,8.060e+02,1.593e+04,1.811e+05
62.1,1.985e+05,9.082e+02,1.788e+04,2.173e+05
63.8,2.487e+05,1.178e+03,2.390e+04,2.737e+05
65.4,3.295e+05,2.043e+03,4.209e+04,3.736e+05
67.0,4.441e+05,4.238e+03,9.143e+04,5.398e+05
68.7,5.842e+05,7.800e+03,1.910e+05,7.830e+05
70.3,7.560e+05,1.230e+04,2.961e+05,1.064e+06
72.0,9.408e+05,1.588e+04,3.413e+05,1.298e+06
73.6,9.856e+05,1.604e+04,3.193e+05,1.321e+06
75.2,8.063e+05,1.287e+04,2.503e+05,1.069e+06
76.9,5.662e+05,8.432e+03,1.868e+05,7.614e+05
78.5,3.655e+05,4.436e+03,1.467e+05,5.166e+05
80.1,2.674e+05,2.125e+03,1.023e+05,3.718e+05
81.8,2.267e+05,9.937e+02,6.406e+04,2.918e+05
83.4,2.279e+05,4.860e+02,4.097e+04,2.693e+05
85.0,2.610e+05,3.302e+02,2.622e+04,2.876e+05
86.7,2.872e+05,5.307e+02,1.826e+04,3.060e+05
88.3,3.121e+05,9.566e+02,1.264e+04,3.257e+05
89.9,3.587e+05,1.356e+03,8.400e+03,3.684e+05
91.6,4.204e+05,1.574e+03,5.782e+03,4.278e+05
93.2,4.930e+05,1.967e+03,3.984e+03,4.989e+05
94.8,5.569e+05,2.916e+03,2.391e+03,5.622e+05
96.5,5.952e+05,3.554e+03,1.399e+03,6.001e+05
98.1,6.315e+05,4.556e+03,1.590e+03,6.376e+05
99.7,6.952e+05,7.260e+03,2.046e+03,7.045e+05
101.4,7.758e+05,1.210e+04,4.835e+03,7.927e+05
103.0,9.020e+05,1.718e+04,1.061e+04,9.298e+05
104.7,1.063e+06,2.014e+04,1.555e+04,1.099e+06
106.3,1.243e+06,2.551e+04,2.184e+04,1.290e+06
107.9,1.393e+06,3.227e+04,2.903e+04,1.454e+06
109.6,1.557e+06,3.668e+04,3.354e+04,1.627e+06
111.2,1.739e+06,3.607e+04,3.454e+04,1.809e+06
112.8,2.001e+06,2.679e+04,2.771e+04,2.055e+06
114.5,2.357e+06,1.342e+04,1.566e+04,2.386e+06
116.1,2.712e+06,5.348e+03,7.597e+03,2.725e+06
117.7,2.693e+06,2.196e+03,3.886e+03,2.700e+06
119.4,2.412e+06,1.728e+03,2.785e+03,2.417e+06
121.0,2.665e+06,2.155e+03,3.030e+03,2.670e+06
122.6,2.996e+06,2.989e+03,3.789e+03,3.003e+06
124.3,3.416e+06,3.637e+03,4.380e+03,3.425e+06
125.9,3.925e+06,4.057e+03,4.445e+03,3.933e+06
127.5,4.461e+06,4.078e+03,4.344e+03,4.469e+06
129.2,5.129e+06,3.922e+03,3.876e+03,5.137e+06
130.8,5.675e+06,3.407e+03,3.248e+03,5.681e+06
132.5,3.761e+06,3.297e+03,2.740e+03,3.767e+06
134.1,4.643e+05,1.956e+03,1.758e+03,4.681e+05
135.7,6.534e+04,1.041e+03,1.144e+03,6.752e+04
137.4,8.072e+04,1.382e+03,1.156e+03,8.326e+04
139.0,1.116e+05,1.941e+03,1.743e+03,1.153e+05
140.6,1.434e+05,2.197e+03,2.630e+03,1.483e+05
142.3,1.624e+05,2.219e+03,3.318e+03,1.679e+05
143.9,1.706e+05,2.253e+03,3.532e+03,1.764e+05
145.5,1.857e+05,2.083e+03,3.371e+03,1.911e+05
147.2,2.000e+05,1.662e+03,2.856e+03,2.045e+05
148.8,1.938e+05,1.660e+03,2.598e+03,1.980e+05
150.4,1.741e+05,1.958e+03,2.626e+03,1.786e+05
152.1,1.392e+05,2.037e+03,2.761e+03,1.440e+05
153.7,1.009e+05,1.947e+03,2.824e+03,1.056e+05
155.3,7.047e+04,1.684e+03,2.618e+03,7.477e+04
157.0,5.199e+04,1.680e+03,2.775e+03,5.644e+04
158.6,3.895e+04,1.676e+03,3.135e+03,4.376e+04
160.3,3.125e+04,1.625e+03,3.426e+03,3.630e+04
161.9,2.591e+04,1.562e+03,3.440e+03,3.091e+04
163.5,2.291e+04,1.387e+03,3.235e+03,2.753e+04
165.2,2.288e+04,1.027e+03,2.864e+03,2.677e+04
166.8,2.348e+04,9.104e+02,2.807e+03,2.720e+04
168.4,2.499e+04,8.270e+02,2.632e+03,2.844e+04
170.1,2.922e+04,6.785e+02,2.508e+03,3.241e+04
171.7,4.111e+04,5.460e+02,2.559e+03,4.422e+04
173.3,5.035e+04,3.982e+02,2.458e+03,5.320e+04
175.0,4.785e+04,3.721e+02,2.283e+03,5.050e+04
176.6,4.211e+04,4.163e+02,2.208e+03,4.473e+04
178.2,3.746e+04,4.623e+02,2.142e+03,4.006e+04
179.9,3.416e+04,5.007e+02,2.175e+03,3.684e+04
181.5,3.103e+04,5.117e+02,2.241e+03,3.378e+04
183.1,2.729e+04,5.181e+02,2.177e+03,2.998e+04
184.8,2.554e+04,5.431e+02,2.082e+03,2.817e+04
186.4,2.446e+04,6.192e+02,2.131e+03,2.721e+04
188.1,2.332e+04,9.101e+02,2.670e+03,2.690e+04
189.7,2.225e+04,1.169e+03,3.822e+03,2.724e+04
191.3,2.119e+04,7.464e+02,3.653e+03,2.559e+04
193.0,2.194e+04,6.743e+02,3.285e+03,2.590e+04
194.6,1.996e+04,4.962e+02,3.370e+03,2.383e+04
196.2,1.565e+04,4.795e+02,3.478e+03,1.961e+04
197.9,1.456e+04,5.002e+02,3.969e+03,1.903e+04
199.5,1.668e+04,4.548e+02,4.192e+03,2.133e+04
