freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.783e+00,2.906e+02,3.236e+02,6.230e+02
1.6,1.882e+01,1.757e+02,2.293e+02,4.239e+02
3.2,2.011e+01,4.017e+01,6.149e+01,1.218e+02
4.9,2.103e+01,4.636e+02,6.479e+01,5.494e+02
6.5,1.952e+01,1.403e+03,6.529e+01,1.487e+03
8.1,2.128e+01,2.235e+03,6.572e+01,2.322e+03
9.7,2.416e+01,3.214e+03,6.546e+01,3.304e+03
11.3,2.858e+01,4.358e+03,6.671e+01,4.453e+03
13.0,3.063e+01,5.645e+03,6.426e+01,5.740e+03
14.6,3.212e+01,7.278e+03,6.377e+01,7.374e+03
16.2,3.602e+01,9.191e+03,6.569e+01,9.293e+03
17.8,5.778e+01,1.146e+04,6.931e+01,1.159e+04
19.5,1.144e+02,1.420e+04,9.142e+01,1.441e+04
21.1,1.511e+02,1.781e+04,1.343e+02,1.809e+04
22.7,1.350e+02,2.267e+04,2.100e+02,2.301e+04
24.3,1.954e+02,2.754e+04,3.394e+02,2.808e+04
25.9,2.015e+02,2.721e+04,4.061e+02,2.782e+04
27.6,1.239e+02,2.186e+04,3.559e+02,2.234e+04
29.2,1.143e+02,1.616e+04,2.164e+02,1.649e+04
30.8,1.361e+02,1.523e+04,1.398e+02,1.550e+04
32.4,1.227e+02,1.758e+04,2.072e+02,1.791e+04
34.0,8.543e+01,2.083e+04,4.100e+02,2.133e+04
35.7,7.669e+01,2.416e+04,7.153e+02,2.495e+04
37.3,8.744e+01,2.794e+04,1.190e+03,2.922e+04
38.9,1.198e+02,3.114e+04,2.376e+03,3.364e+04
40.5,1.595e+02,3.416e+04,4.078e+03,3.839e+04
42.2,2.531e+02,3.846e+04,6.101e+03,4.481e+04
43.8,3.844e+02,4.245e+04,9.049e+03,5.189e+04
45.4,4.881e+02,4.758e+04,1.617e+04,6.424e+04
47.0,5.571e+02,5.345e+04,3.464e+04,8.864e+04
48.6,5.395e+02,5.640e+04,4.401e+04,1.010e+05
50.3,4.631e+02,5.417e+04,5.955e+04,1.142e+05
51.9,7.342e+02,5.301e+04,1.528e+05,2.065e+05
53.5,1.639e+03,6.053e+04,3.102e+05,3.724e+05
55.1,2.068e+03,6.554e+04,3.409e+05,4.085e+05
56.7,1.854e+03,6.547e+04,2.834e+05,3.507e+05
58.4,1.195e+03,6.672e+04,2.322e+05,3.001e+05
60.0,9.792e+02,7.451e+04,2.329e+05,3.084e+05
61.6,1.120e+03,8.423e+04,2.597e+05,3.450e+05
63.2,1.034e+03,9.525e+04,2.693e+05,3.656e+05
64.9,8.920e+02,1.070e+05,2.678e+05,3.757e+05
66.5,7.605e+02,1.148e+05,2.566e+05,3.721e+05
68.1,7.193e+02,1.177e+05,2.425e+05,3.610e+05
69.7,9.013e+02,1.307e+05,2.490e+05,3.806e+05
71.3,1.582e+03,1.534e+05,2.735e+05,4.285e+05
73.0,2.605e+03,1.825e+05,3.013e+05,4.864e+05
74.6,2.574e+03,2.139e+05,3.495e+05,5.660e+05
76.2,2.800e+03,2.450e+05,4.115e+05,6.593e+05
77.8,4.133e+03,2.725e+05,4.694e+05,7.461e+05
79.4,5.167e+03,2.942e+05,5.237e+05,8.230e+05
81.1,5.607e+03,3.038e+05,5.649e+05,8.743e+05
82.7,5.917e+03,2.948e+05,5.653e+05,8.660e+05
84.3,6.514e+03,3.181e+05,6.122e+05,9.368e+05
85.9,7.239e+03,3.802e+05,7.031e+05,1.091e+06
87.6,8.747e+03,5.054e+05,8.495e+05,1.364e+06
89.2,1.108e+04,7.581e+05,1.094e+06,1.863e+06
90.8,1.256e+04,1.212e+06,1.442e+06,2.667e+06
92.4,1.133e+04,1.660e+06,1.709e+06,3.380e+06
