freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.240e+01,5.503e+02,5.345e+02,1.107e+03
1.6,3.006e+01,3.431e+02,3.370e+02,7.101e+02
3.3,2.219e+01,5.906e+01,6.212e+01,1.434e+02
4.9,2.312e+01,5.106e+02,5.715e+01,5.908e+02
6.5,2.373e+01,1.464e+03,6.283e+01,1.550e+03
8.2,2.220e+01,2.359e+03,6.139e+01,2.443e+03
9.8,2.142e+01,3.431e+03,6.017e+01,3.513e+03
11.4,2.276e+01,4.688e+03,6.198e+01,4.773e+03
13.0,2.393e+01,6.225e+03,6.492e+01,6.314e+03
14.7,2.652e+01,7.825e+03,7.413e+01,7.925e+03
16.3,3.029e+01,9.806e+03,8.438e+01,9.921e+03
17.9,3.533e+01,1.237e+04,1.029e+02,1.251e+04
19.6,2.983e+01,1.543e+04,1.463e+02,1.561e+04
21.2,2.850e+01,1.957e+04,2.052e+02,1.980e+04
22.8,3.966e+01,2.538e+04,3.335e+02,2.575e+04
24.5,8.690e+01,3.410e+04,6.994e+02,3.488e+04
26.1,4.193e+02,4.467e+04,1.680e+03,4.677e+04
27.7,1.160e+03,4.475e+04,2.011e+03,4.792e+04
29.4,1.250e+03,5.051e+04,1.011e+03,5.278e+04
31.0,2.092e+03,5.744e+04,7.250e+02,6.026e+04
32.6,3.428e+03,4.948e+04,1.008e+03,5.392e+04
34.2,3.184e+03,4.396e+04,1.702e+03,4.885e+04
35.9,2.100e+03,3.726e+04,2.279e+03,4.163e+04
37.5,1.026e+03,3.206e+04,2.201e+03,3.529e+04
39.1,8.488e+02,4.284e+04,4.104e+03,4.779e+04
40.8,1.254e+03,5.528e+04,8.987e+03,6.552e+04
42.4,1.283e+03,5.082e+04,1.283e+04,6.493e+04
44.0,9.322e+02,3.391e+04,9.360e+03,4.420e+04
45.7,5.575e+02,2.776e+04,5.291e+03,3.361e+04
47.3,3.692e+02,3.230e+04,6.946e+03,3.961e+04
48.9,2.887e+02,3.688e+04,1.237e+04,4.954e+04
50.6,2.846e+02,4.042e+04,2.745e+04,6.815e+04
52.2,4.119e+02,4.468e+04,6.651e+04,1.116e+05
53.8,5.123e+02,5.033e+04,9.195e+04,1.428e+05
55.4,3.241e+02,6.205e+04,7.836e+04,1.407e+05
57.1,2.052e+02,7.388e+04,6.410e+04,1.382e+05
58.7,1.961e+02,8.854e+04,5.780e+04,1.465e+05
60.3,1.714e+02,1.117e+05,5.657e+04,1.685e+05
62.0,1.169e+02,1.438e+05,6.558e+04,2.095e+05
63.6,3.180e+02,1.882e+05,1.280e+05,3.165e+05
65.2,3.461e+03,2.316e+05,4.044e+05,6.394e+05
66.9,1.048e+04,2.486e+05,7.012e+05,9.602e+05
68.5,1.509e+04,2.527e+05,7.813e+05,1.049e+06
70.1,1.708e+04,2.965e+05,8.580e+05,1.172e+06
71.7,1.506e+04,3.491e+05,9.547e+05,1.319e+06
73.4,1.192e+04,4.282e+05,1.081e+06,1.521e+06
75.0,9.836e+03,5.990e+05,1.280e+06,1.889e+06
76.6,1.438e+04,9.638e+05,1.601e+06,2.579e+06
78.3,2.757e+04,1.468e+06,2.000e+06,3.495e+06
79.9,4.680e+04,1.992e+06,2.336e+06,4.374e+06
81.5,5.397e+04,2.219e+06,2.343e+06,4.616e+06
83.2,4.657e+04,2.136e+06,2.124e+06,4.306e+06
84.8,3.817e+04,2.166e+06,2.031e+06,4.236e+06
86.4,3.290e+04,2.137e+06,1.966e+06,4.136e+06
88.1,3.498e+04,2.082e+06,1.924e+06,4.041e+06
89.7,3.910e+04,2.025e+06,1.893e+06,3.957e+06
91.3,4.592e+04,1.955e+06,1.829e+06,3.831e+06
92.9,6.015e+04,1.858e+06,1.739e+06,3.657e+06
94.6,7.752e+04,1.736e+06,1.623e+06,3.436e+06
96.2,9.666e+04,1.571e+06,1.460e+06,3.128e+06
97.8,9.599e+04,1.369e+06,1.233e+06,2.698e+06
99.5,7.428e+04,1.185e+06,1.063e+06,2.322e+06
101.1,4.191e+04,1.039e+06,9.355e+05,2.017e+06
102.7,2.542e+04,8.794e+05,7.861e+05,1.691e+06
104.4,2.286e+04,6.974e+05,6.253e+05,1.346e+06
106.0,1.531e+04,5.514e+05,5.007e+05,1.067e+06
107.6,9.363e+03,4.626e+05,4.199e+05,8.918e+05
109.3,4.603e+03,3.801e+05,3.438e+05,7.285e+05
110.9,2.084e+03,3.066e+05,2.735e+05,5.823e+05
112.5,2.001e+03,2.653e+05,2.286e+05,4.959e+05
114.1,4.046e+03,2.573e+05,2.098e+05,4.712e+05
115.8,7.728e+03,2.659e+05,2.054e+05,4.790e+05
117.4,1.193e+04,2.808e+05,2.069e+05,4.997e+05
119.0,1.960e+04,3.024e+05,2.132e+05,5.352e+05
120.7,2.727e+04,3.334e+05,2.224e+05,5.831e+05
122.3,2.815e+04,3.630e+05,2.302e+05,6.214e+05
123.9,3.173e+04,3.910e+05,2.386e+05,6.613e+05
125.6,3.632e+04,4.101e+05,2.434e+05,6.898e+05
127.2,4.184e+04,4.197e+05,2.439e+05,7.055e+05
128.8,4.713e+04,4.233e+05,2.428e+05,7.131e+05
130.5,5.416e+04,4.217e+05,2.467e+05,7.226e+05
132.1,5.294e+04,3.504e+05,2.161e+05,6.195e+05
133.7,2.460e+04,1.009e+05,8.134e+04,2.069e+05
135.3,1.337e+04,1.104e+04,3.093e+04,5.534e+04
137.0,1.490e+04,8.650e+03,2.823e+04,5.179e+04
138.6,2.293e+04,7.544e+03,2.690e+04,5.738e+04
140.2,3.358e+04,6.521e+03,2.540e+04,6.550e+04
141.9,3.998e+04,5.933e+03,2.407e+04,6.998e+04
143.5,3.959e+04,5.631e+03,2.255e+04,6.778e+04
145.1,3.879e+04,5.240e+03,2.092e+04,6.496e+04
146.8,3.496e+04,5.234e+03,1.996e+04,6.016e+04
148.4,2.991e+04,5.556e+03,1.971e+04,5.517e+04
150.0,2.568e+04,6.025e+03,2.040e+04,5.210e+04
151.7,2.320e+04,6.125e+03,2.295e+04,5.227e+04
153.3,2.231e+04,6.019e+03,2.525e+04,5.358e+04
154.9,2.130e+04,6.012e+03,2.723e+04,5.455e+04
156.5,2.428e+04,5.973e+03,2.917e+04,5.942e+04
158.2,2.888e+04,5.995e+03,3.243e+04,6.731e+04
159.8,3.175e+04,6.434e+03,3.649e+04,7.467e+04
161.4,3.050e+04,6.761e+03,3.890e+04,7.616e+04
163.1,3.002e+04,6.519e+03,3.847e+04,7.501e+04
164.7,2.225e+04,5.705e+03,3.382e+04,6.177e+04
166.3,1.923e+04,4.979e+03,3.000e+04,5.421e+04
168.0,1.930e+04,4.847e+03,2.835e+04,5.249e+04
169.6,2.011e+04,4.749e+03,2.631e+04,5.116e+04
171.2,1.904e+04,5.111e+03,2.400e+04,4.815e+04
172.9,1.856e+04,5.808e+03,2.201e+04,4.638e+04
174.5,2.027e+04,5.380e+03,1.979e+04,4.544e+04
176.1,2.170e+04,4.914e+03,1.793e+04,4.454e+04
177.7,2.361e+04,4.586e+03,1.626e+04,4.446e+04
179.4,2.504e+04,4.069e+03,1.443e+04,4.353e+04
181.0,2.511e+04,3.590e+03,1.255e+04,4.125e+04
182.6,2.443e+04,3.129e+03,1.062e+04,3.818e+04
184.3,2.386e+04,2.872e+03,8.842e+03,3.557e+04
185.9,2.435e+04,2.987e+03,8.101e+03,3.544e+04
187.5,2.635e+04,2.751e+03,7.286e+03,3.639e+04
189.2,2.898e+04,2.440e+03,5.936e+03,3.735e+04
190.8,2.919e+04,2.308e+03,4.559e+03,3.606e+04
192.4,2.683e+04,2.286e+03,3.234e+03,3.235e+04
194.0,2.143e+04,2.273e+03,2.081e+03,2.579e+04
195.7,1.575e+04,2.259e+03,1.667e+03,1.967e+04
197.3,1.206e+04,2.299e+03,1.210e+03,1.557e+04
198.9,8.378e+03,2.438e+03,8.548e+02,1.167e+04
