freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.888e+02,8.799e+00,2.336e+01,4.209e+02
1.6,2.474e+02,2.899e+01,5.956e+01,3.359e+02
3.2,5.271e+01,2.726e+01,6.523e+01,1.452e+02
4.9,4.682e+02,2.706e+01,6.250e+01,5.578e+02
6.5,1.354e+03,2.844e+01,6.258e+01,1.445e+03
8.1,2.172e+03,2.880e+01,5.816e+01,2.259e+03
9.7,3.063e+03,2.887e+01,5.578e+01,3.148e+03
11.3,4.077e+03,3.371e+01,5.875e+01,4.169e+03
13.0,5.296e+03,3.588e+01,6.230e+01,5.394e+03
14.6,6.762e+03,3.661e+01,6.213e+01,6.861e+03
16.2,8.571e+03,3.731e+01,6.042e+01,8.669e+03
17.8,1.083e+04,3.863e+01,5.639e+01,1.092e+04
19.5,1.353e+04,3.941e+01,6.259e+01,1.363e+04
21.1,1.546e+04,5.297e+01,6.714e+01,1.558e+04
22.7,1.844e+04,6.458e+01,7.441e+01,1.858e+04
24.3,1.770e+04,1.068e+02,6.857e+01,1.787e+04
25.9,1.416e+04,1.652e+02,6.176e+01,1.439e+04
27.6,1.344e+04,1.887e+02,6.622e+01,1.369e+04
29.2,1.451e+04,1.235e+02,6.936e+01,1.471e+04
30.8,1.619e+04,6.669e+01,7.812e+01,1.634e+04
32.4,1.822e+04,5.803e+01,8.677e+01,1.837e+04
34.0,2.032e+04,6.745e+01,8.705e+01,2.047e+04
35.7,2.270e+04,8.448e+01,9.587e+01,2.288e+04
37.3,2.576e+04,9.560e+01,1.014e+02,2.596e+04
38.9,2.862e+04,1.017e+02,1.138e+02,2.884e+04
40.5,3.188e+04,9.274e+01,1.155e+02,3.209e+04
42.2,3.574e+04,9.799e+01,1.271e+02,3.597e+04
43.8,3.778e+04,9.962e+01,1.699e+02,3.805e+04
45.4,3.911e+04,1.289e+02,2.994e+02,3.954e+04
47.0,4.135e+04,1.809e+02,5.104e+02,4.204e+04
48.6,4.333e+04,2.190e+02,7.846e+02,4.433e+04
50.3,4.477e+04,2.214e+02,9.528e+02,4.594e+04
51.9,4.906e+04,1.912e+02,1.193e+03,5.045e+04
53.5,5.478e+04,2.065e+02,2.038e+03,5.703e+04
55.1,5.862e+04,2.380e+02,5.023e+03,6.388e+04
56.7,6.277e+04,3.444e+02,1.063e+04,7.374e+04
58.4,6.792e+04,6.009e+02,1.219e+04,8.071e+04
60.0,7.569e+04,9.180e+02,1.336e+04,8.997e+04
61.6,8.492e+04,1.284e+03,2.022e+04,1.064e+05
63.2,9.570e+04,1.868e+03,3.808e+04,1.356e+05
64.9,1.087e+05,2.722e+03,6.019e+04,1.716e+05
66.5,1.237e+05,3.580e+03,7.560e+04,2.029e+05
68.1,1.375e+05,3.769e+03,7.982e+04,2.211e+05
69.7,1.361e+05,3.140e+03,6.639e+04,2.056e+05
71.3,1.249e+05,1.590e+03,2.949e+04,1.560e+05
73.0,1.268e+05,8.974e+02,9.026e+03,1.367e+05
74.6,1.416e+05,9.634e+02,7.210e+03,1.497e+05
76.2,1.710e+05,1.091e+03,9.431e+03,1.815e+05
77.8,2.021e+05,1.188e+03,1.148e+04,2.148e+05
79.4,2.301e+05,1.263e+03,1.218e+04,2.435e+05
81.1,2.442e+05,1.459e+03,1.339e+04,2.590e+05
82.7,2.362e+05,1.817e+03,1.471e+04,2.528e+05
84.3,2.506e+05,2.438e+03,1.551e+04,2.686e+05
85.9,2.902e+05,3.189e+03,1.542e+04,3.088e+05
87.5,3.406e+05,4.038e+03,1.463e+04,3.593e+05
89.2,3.934e+05,5.181e+03,1.461e+04,4.132e+05
90.8,4.532e+05,6.188e+03,1.402e+04,4.734e+05
92.4,5.246e+05,7.453e+03,1.337e+04,5.454e+05
94.0,6.287e+05,9.064e+03,1.219e+04,6.500e+05
95.7,7.525e+05,1.100e+04,1.128e+04,7.748e+05
97.3,8.700e+05,1.204e+04,1.161e+04,8.937e+05
98.9,9.820e+05,1.113e+04,1.092e+04,1.004e+06
100.5,1.090e+06,1.061e+04,9.226e+03,1.110e+06
102.1,1.205e+06,9.455e+03,7.491e+03,1.222e+06
103.8,1.277e+06,9.056e+03,5.303e+03,1.291e+06
105.4,1.307e+06,9.621e+03,3.700e+03,1.320e+06
107.0,1.427e+06,1.207e+04,3.994e+03,1.443e+06
108.6,1.543e+06,1.530e+04,5.784e+03,1.564e+06
110.2,1.700e+06,1.625e+04,7.913e+03,1.724e+06
111.9,1.896e+06,1.413e+04,8.219e+03,1.918e+06
113.5,2.036e+06,1.054e+04,6.657e+03,2.053e+06
115.1,2.151e+06,7.436e+03,4.465e+03,2.163e+06
116.7,2.271e+06,6.972e+03,3.322e+03,2.281e+06
118.4,2.367e+06,8.714e+03,3.235e+03,2.379e+06
120.0,2.369e+06,1.138e+04,4.050e+03,2.384e+06
121.6,2.313e+06,1.164e+04,5.087e+03,2.330e+06
123.2,2.286e+06,9.082e+03,5.191e+03,2.300e+06
124.8,2.207e+06,6.684e+03,4.981e+03,2.218e+06
126.5,2.070e+06,5.015e+03,4.500e+03,2.080e+06
