freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.342e+00,2.282e+02,2.280e+02,4.645e+02
1.6,2.177e+01,1.444e+02,1.676e+02,3.337e+02
3.2,2.133e+01,4.454e+01,5.750e+01,1.234e+02
4.9,1.903e+01,4.442e+02,6.132e+01,5.245e+02
6.5,1.996e+01,1.343e+03,6.525e+01,1.428e+03
8.1,1.946e+01,2.210e+03,6.953e+01,2.299e+03
9.7,2.177e+01,3.179e+03,6.372e+01,3.264e+03
11.4,2.342e+01,4.295e+03,6.541e+01,4.384e+03
13.0,2.345e+01,5.642e+03,6.584e+01,5.732e+03
14.6,2.644e+01,7.155e+03,7.028e+01,7.251e+03
16.2,3.349e+01,9.060e+03,7.587e+01,9.169e+03
17.9,4.314e+01,1.127e+04,8.545e+01,1.140e+04
19.5,6.161e+01,1.377e+04,1.146e+02,1.395e+04
21.1,1.010e+02,1.684e+04,1.730e+02,1.712e+04
22.7,2.628e+02,2.093e+04,2.570e+02,2.145e+04
24.4,5.542e+02,2.561e+04,4.140e+02,2.658e+04
26.0,5.266e+02,3.091e+04,7.082e+02,3.214e+04
27.6,2.967e+02,3.626e+04,1.261e+03,3.781e+04
29.2,1.483e+02,3.148e+04,1.428e+03,3.305e+04
30.9,1.405e+02,1.990e+04,8.711e+02,2.091e+04
32.5,2.161e+02,1.537e+04,4.334e+02,1.602e+04
34.1,2.589e+02,1.627e+04,2.717e+02,1.680e+04
35.7,2.039e+02,1.960e+04,3.052e+02,2.011e+04
37.4,1.528e+02,2.350e+04,9.652e+02,2.462e+04
39.0,1.714e+02,2.378e+04,2.531e+03,2.648e+04
40.6,2.162e+02,2.422e+04,3.962e+03,2.840e+04
42.2,2.798e+02,2.651e+04,5.249e+03,3.204e+04
43.9,2.385e+02,2.794e+04,7.565e+03,3.574e+04
45.5,3.207e+02,3.080e+04,2.098e+04,5.210e+04
47.1,7.307e+02,3.475e+04,6.037e+04,9.585e+04
48.7,1.117e+03,3.599e+04,7.642e+04,1.135e+05
50.4,1.333e+03,3.747e+04,7.241e+04,1.112e+05
52.0,7.681e+02,4.236e+04,5.838e+04,1.015e+05
53.6,5.555e+02,4.883e+04,5.045e+04,9.984e+04
55.2,5.313e+02,5.480e+04,4.276e+04,9.809e+04
56.9,4.926e+02,5.885e+04,3.706e+04,9.641e+04
58.5,4.430e+02,6.341e+04,3.866e+04,1.025e+05
60.1,4.228e+02,7.279e+04,5.805e+04,1.313e+05
61.7,7.372e+02,8.488e+04,1.423e+05,2.279e+05
63.4,1.414e+03,1.074e+05,2.639e+05,3.727e+05
65.0,1.386e+03,1.316e+05,3.113e+05,4.443e+05
66.6,1.289e+03,1.428e+05,3.277e+05,4.718e+05
68.2,1.228e+03,1.350e+05,3.522e+05,4.884e+05
69.9,8.992e+02,1.227e+05,3.732e+05,4.968e+05
71.5,6.369e+02,1.177e+05,3.989e+05,5.172e+05
73.1,1.379e+03,1.243e+05,4.229e+05,5.486e+05
74.7,4.941e+03,1.398e+05,4.262e+05,5.710e+05
76.4,7.524e+03,1.546e+05,4.373e+05,5.994e+05
78.0,7.692e+03,1.589e+05,4.553e+05,6.218e+05
79.6,7.952e+03,1.641e+05,4.675e+05,6.395e+05
81.2,8.376e+03,1.740e+05,4.673e+05,6.497e+05
82.9,9.119e+03,1.890e+05,4.653e+05,6.634e+05
84.5,1.065e+04,2.460e+05,5.241e+05,7.807e+05
86.1,1.254e+04,3.378e+05,6.081e+05,9.584e+05
87.7,1.423e+04,4.717e+05,7.153e+05,1.201e+06
89.4,1.436e+04,6.716e+05,8.593e+05,1.545e+06
91.0,1.288e+04,9.356e+05,1.018e+06,1.967e+06
92.6,9.224e+03,1.226e+06,1.112e+06,2.348e+06
94.2,6.146e+03,1.320e+06,1.026e+06,2.352e+06
95.9,8.496e+03,1.278e+06,1.026e+06,2.312e+06
97.5,9.109e+03,1.125e+06,9.692e+05,2.103e+06
99.1,4.501e+03,9.243e+05,8.241e+05,1.753e+06
100.7,2.421e+03,7.738e+05,6.928e+05,1.469e+06
102.4,1.721e+03,6.745e+05,5.965e+05,1.273e+06
104.0,1.484e+03,5.528e+05,4.793e+05,1.034e+06
105.6,1.455e+03,4.252e+05,3.594e+05,7.860e+05
107.2,2.318e+03,3.369e+05,2.770e+05,6.162e+05
108.9,3.561e+03,2.620e+05,2.100e+05,4.756e+05
110.5,4.210e+03,2.144e+05,1.683e+05,3.870e+05
112.1,4.562e+03,2.084e+05,1.580e+05,3.709e+05
113.7,8.098e+03,2.221e+05,1.629e+05,3.930e+05
115.4,1.002e+04,2.262e+05,1.624e+05,3.986e+05
117.0,1.108e+04,2.265e+05,1.604e+05,3.980e+05
118.6,1.426e+04,2.328e+05,1.618e+05,4.089e+05
120.2,1.665e+04,2.407e+05,1.637e+05,4.210e+05
121.9,1.673e+04,2.494e+05,1.674e+05,4.335e+05
123.5,1.647e+04,2.537e+05,1.688e+05,4.390e+05
125.1,1.770e+04,2.502e+05,1.678e+05,4.357e+05
126.7,2.128e+04,2.421e+05,1.636e+05,4.270e+05
128.4,2.874e+04,2.332e+05,1.580e+05,4.199e+05
130.0,3.899e+04,2.247e+05,1.519e+05,4.156e+05
131.6,4.391e+04,1.979e+05,1.341e+05,3.759e+05
133.2,2.989e+04,7.609e+04,5.812e+04,1.641e+05
134.9,1.943e+04,8.124e+03,1.569e+04,4.324e+04
136.5,1.723e+04,5.010e+03,1.307e+04,3.530e+04
138.1,1.702e+04,4.551e+03,1.208e+04,3.365e+04
139.7,1.588e+04,4.552e+03,1.287e+04,3.331e+04
141.4,1.370e+04,4.623e+03,1.445e+04,3.277e+04
143.0,1.095e+04,3.594e+03,1.100e+04,2.554e+04
144.6,8.452e+03,2.604e+03,7.505e+03,1.856e+04
146.2,8.201e+03,2.198e+03,5.775e+03,1.617e+04
147.9,1.009e+04,2.016e+03,5.219e+03,1.733e+04
149.5,1.058e+04,2.261e+03,5.385e+03,1.822e+04
151.1,1.159e+04,2.532e+03,5.810e+03,1.993e+04
152.7,1.031e+04,2.237e+03,5.526e+03,1.807e+04
154.4,8.938e+03,1.960e+03,4.919e+03,1.582e+04
156.0,7.320e+03,1.743e+03,3.974e+03,1.304e+04
157.6,5.477e+03,1.462e+03,2.974e+03,9.913e+03
159.2,5.302e+03,1.261e+03,2.432e+03,8.995e+03
160.9,4.678e+03,1.103e+03,1.924e+03,7.704e+03
162.5,4.001e+03,9.355e+02,1.511e+03,6.448e+03
164.1,3.386e+03,8.330e+02,1.141e+03,5.360e+03
165.7,2.819e+03,7.712e+02,9.362e+02,4.526e+03
167.4,2.910e+03,7.158e+02,8.981e+02,4.524e+03
169.0,3.367e+03,6.853e+02,9.030e+02,4.955e+03
170.6,3.937e+03,7.727e+02,9.367e+02,5.646e+03
172.2,4.994e+03,1.074e+03,1.142e+03,7.210e+03
173.9,6.125e+03,1.189e+03,1.167e+03,8.481e+03
175.5,6.856e+03,1.099e+03,1.059e+03,9.013e+03
177.1,6.921e+03,9.920e+02,9.187e+02,8.831e+03
178.7,6.359e+03,9.355e+02,8.117e+02,8.106e+03
180.4,5.560e+03,9.027e+02,6.978e+02,7.160e+03
182.0,5.017e+03,8.569e+02,5.851e+02,6.459e+03
183.6,4.114e+03,8.616e+02,5.124e+02,5.488e+03
185.2,2.996e+03,9.184e+02,4.382e+02,4.353e+03
186.9,2.097e+03,9.115e+02,4.417e+02,3.450e+03
