freq,psd_x,psd_y,psd_z,psd_xyz
163.4,5.559e+04,2.674e+03,1.570e+03,5.983e+04
164.9,5.604e+04,3.462e+03,2.463e+03,6.197e+04
166.5,6.249e+04,3.316e+03,2.085e+03,6.789e+04
168.0,6.149e+04,3.453e+03,1.769e+03,6.671e+04
169.5,6.250e+04,3.839e+03,1.781e+03,6.812e+04
171.0,6.504e+04,3.631e+03,1.608e+03,7.028e+04
172.5,6.759e+04,3.246e+03,1.371e+03,7.221e+04
174.0,6.896e+04,2.675e+03,1.071e+03,7.271e+04
175.5,7.003e+04,2.346e+03,9.437e+02,7.332e+04
177.0,6.824e+04,1.982e+03,7.883e+02,7.101e+04
178.6,6.697e+04,1.631e+03,6.367e+02,6.923e+04
180.1,6.507e+04,1.435e+03,5.196e+02,6.703e+04
181.6,6.155e+04,1.442e+03,3.982e+02,6.339e+04
183.1,5.917e+04,1.748e+03,3.148e+02,6.124e+04
184.6,5.817e+04,1.853e+03,3.023e+02,6.033e+04
186.1,5.783e+04,1.663e+03,3.404e+02,5.983e+04
187.6,7.559e+04,2.891e+03,4.210e+02,7.891e+04
189.2,1.361e+05,1.269e+04,4.962e+02,1.493e+05
190.7,1.869e+05,2.288e+04,6.543e+02,2.105e+05
192.2,2.125e+05,2.529e+04,4.286e+02,2.382e+05
193.7,2.361e+05,2.566e+04,2.715e+02,2.620e+05
195.2,2.592e+05,2.679e+04,2.234e+02,2.862e+05
196.7,2.784e+05,2.736e+04,1.763e+02,3.060e+05
198.2,2.887e+05,2.747e+04,1.607e+02,3.163e+05
199.7,2.913e+05,2.388e+04,1.879e+02,3.154e+05
