freq,psd_x,psd_y,psd_z,psd_xyz
181.6,2.643e+03,8.174e+03,3.405e+03,1.422e+04
183.1,2.151e+03,8.414e+03,3.136e+03,1.370e+04
184.6,2.221e+03,7.918e+03,2.647e+03,1.279e+04
186.1,2.481e+03,7.228e+03,2.260e+03,1.197e+04
187.6,2.745e+03,6.884e+03,2.070e+03,1.170e+04
189.1,2.993e+03,6.465e+03,1.866e+03,1.132e+04
190.7,3.419e+03,5.811e+03,1.551e+03,1.078e+04
192.2,3.621e+03,5.161e+03,1.300e+03,1.008e+04
193.7,3.749e+03,4.886e+03,1.185e+03,9.819e+03
195.2,4.145e+03,5.003e+03,1.127e+03,1.027e+04
196.7,4.447e+03,5.034e+03,1.054e+03,1.054e+04
198.2,4.825e+03,5.113e+03,9.896e+02,1.093e+04
199.7,4.580e+03,4.913e+03,8.907e+02,1.038e+04
